Speaker,Emotion,File Name,Transcription
KhaledKamal,Surprised,KhaledKamal_Surprised_9.wav,دفعت ميل لضفاعا
KhaledKamal,Surprised,KhaledKamal_Surprised_4.wav,عملت إيه
KhaledKamal,Surprised,KhaledKamal_Surprised_3.wav,تقبتعديهم
KhaledKamal,Surprised,KhaledKamal_Surprised_10.wav,ولت تولتي
KhaledKamal,Surprised,KhaledKamal_Surprised_8.wav,أنا حولقت المرون
KhaledKamal,Surprised,KhaledKamal_Surprised_11.wav,إنتي إزاي مش حسة بي
KhaledKamal,Surprised,KhaledKamal_Surprised_5.wav,إنفيه بترقبين يا ما ديها
KhaledKamal,Surprised,KhaledKamal_Surprised_6.wav,فاللي إغت عن ما تيحا هنا
KhaledKamal,Surprised,KhaledKamal_Surprised_1.wav,إيهلي انت بتول ده وو
KhaledKamal,Surprised,KhaledKamal_Surprised_7.wav,يعني مش هاخروا
KhaledKamal,Surprised,KhaledKamal_Surprised_2.wav,إنتي ميني وتعمليه
KhaledKamal,Angry,KhaledKamal_Angry_2.wav,إيه سأا نفس اكديمة دي حهر من شيفني إيتان أطر لو إدامك
KhaledKamal,Angry,KhaledKamal_Angry_7.wav,أنا ما مكتفشي مروان أنا صحبقك لازم فسداي
KhaledKamal,Angry,KhaledKamal_Angry_5.wav,يعني ما كنتشفاضي كان ورك إيه يعني
KhaledKamal,Angry,KhaledKamal_Angry_8.wav,كفات
KhaledKamal,Angry,KhaledKamal_Angry_1.wav,لاأء وما حادش يض عنيه
KhaledKamal,Angry,KhaledKamal_Angry_6.wav,ماسحب مطعة صطبنيش إخترمك كده
KhaledKamal,Angry,KhaledKamal_Angry_4.wav,مش وقطه دروما خالص
KhaledKamal,Angry,KhaledKamal_Angry_3.wav,حتتكلما عندي الإنوال
KhaledKamal,Angry,KhaledKamal_Angry_9.wav,قوللون إن أنا خايف على الراجل ده تبت زمال ي رحت بلحتى عندك فبتش على هلا
KhaledKamal,Neutral,KhaledKamal_Neutral_1.wav,ان راهيا عشان بتحرك صح لازم في أصرة أوقت بتدي نسهحب فلوس مرو واحدة واهدة من غير ما يحس
KhaledKamal,Neutral,KhaledKamal_Neutral_3.wav,طيب أنا كده كده كت ماشي
KhaledKamal,Neutral,KhaledKamal_Neutral_14.wav,حامعا الاأضية بس إمركسيها أكت كده
KhaledKamal,Neutral,KhaledKamal_Neutral_5.wav,على قل النعرف مللي بيقابله مروان
KhaledKamal,Neutral,KhaledKamal_Neutral_2.wav,أمامش لوقتي عند هاكتير لسم عملها
KhaledKamal,Neutral,KhaledKamal_Neutral_8.wav,سكون إن هي تأبلت معنا كده إن ما وقفنا كويس
KhaledKamal,Neutral,KhaledKamal_Neutral_4.wav,وخافش شوية بعد الحتسة إنما بداتة من انبارح تده موضوع يزيد
KhaledKamal,Neutral,KhaledKamal_Neutral_7.wav,طب بموضوع القشف الطببدهنا من فيه
KhaledKamal,Neutral,KhaledKamal_Neutral_12.wav,الشكات اللي علية مش هرجعبك
KhaledKamal,Neutral,KhaledKamal_Neutral_10.wav,مديهى ما إيماش حضغ المص فعة
KhaledKamal,Neutral,KhaledKamal_Neutral_13.wav,وبوكر الشوفحا يت لح د عملي تناف زويعنا المحه
KhaledKamal,Neutral,KhaledKamal_Neutral_6.wav,دي نومرنوان لازم يططلعو فصع وقت ممكن وإنتي للازم تكون السبب   ننن
KhaledKamal,Neutral,KhaledKamal_Neutral_9.wav,بلق تتحرج ما تق الإف
KhaledKamal,Neutral,KhaledKamal_Neutral_11.wav,طرف بتروح فين البتقاب لمينيو بتعمل إيه
KhaledKamal,Happy,KhaledKamal_Happy_1.wav,إظر علىلى حياتك لفى دهمروا
KhaledKamal,Fearful,KhaledKamal_Fearful_4.wav,كلمية اتلاني تبشوا فيه
KhaledKamal,Fearful,KhaledKamal_Fearful_1.wav,مرون فيس تثاهم
KhaledKamal,Fearful,KhaledKamal_Fearful_5.wav,خلي بالك يدي أرجوب
KhaledKamal,Fearful,KhaledKamal_Fearful_2.wav,ما كده كل حاجة حضيع مننا
KhaledKamal,Fearful,KhaledKamal_Fearful_3.wav,آ# آهمع سألونا ذا قانديك أعدأول ا لأ إحنا قلنا ل
MahmoudHafez,Surprised,MahmoudHafez_Surprised_2.wav,لا شيخ
MahmoudHafez,Surprised,MahmoudHafez_Surprised_1.wav,فياشتمر غرما توللي
MahmoudHafez,Angry,MahmoudHafez_Angry_4.wav,ما يتقزو أنا هتحري البجاز ورو اتعنية
MahmoudHafez,Angry,MahmoudHafez_Angry_2.wav,مالية أنا هجيب عرى محرم
MahmoudHafez,Angry,MahmoudHafez_Angry_3.wav,كنا نسحب ارأوطلى بنهافع أوم ونطع بوا على الإسم ونا خوص
MahmoudHafez,Angry,MahmoudHafez_Angry_1.wav,صبرن يعراب
MahmoudHafez,Neutral,MahmoudHafez_Neutral_1.wav,وشفصدها نغارب بقعلى كده
MahmoudHafez,Neutral,MahmoudHafez_Neutral_2.wav,رابة للي بتتكلمم جدا
MahmoudHafez,Happy,MahmoudHafez_Happy_1.wav,دكتور صباع الفل
MahmoudHafez,Happy,MahmoudHafez_Happy_2.wav,حلو قوي قوي قو بيديأراة
MahmoudHafez,Fearful,MahmoudHafez_Fearful_1.wav,طب منا عامل أستاه سخير فيه
MahmoudHafez,Fearful,MahmoudHafez_Fearful_2.wav,يا نهارد سوت يه أنحار السودل
AmrYoussef,Surprised,AmrYoussef_Surprised_19.wav,ما جديد
AmrYoussef,Surprised,AmrYoussef_Surprised_12.wav,هي نل سلقة البيت واحدة بنت
AmrYoussef,Surprised,AmrYoussef_Surprised_6.wav,ما نتي طحرقتي وزي الير دوبمة في كيش حاجة
AmrYoussef,Surprised,AmrYoussef_Surprised_32.wav,سمي يارنع سمب إنتي عايزان ماهوم تأهلي
AmrYoussef,Surprised,AmrYoussef_Surprised_31.wav,أسمحا بعد ملات اللي تبوية
AmrYoussef,Surprised,AmrYoussef_Surprised_18.wav,إكتماعد إيدك إ أنا مش أحدر هتمهاند
AmrYoussef,Surprised,AmrYoussef_Surprised_11.wav,بتتفبقي علية معاهم
AmrYoussef,Surprised,AmrYoussef_Surprised_30.wav,هو اللي قتر سمح
AmrYoussef,Surprised,AmrYoussef_Surprised_25.wav,عنكلم نرش
AmrYoussef,Surprised,AmrYoussef_Surprised_23.wav,هي نادي الي يتك عل حتسة مش وح مود
AmrYoussef,Surprised,AmrYoussef_Surprised_8.wav,عازمك ألاشة
AmrYoussef,Surprised,AmrYoussef_Surprised_22.wav,أنا
AmrYoussef,Surprised,AmrYoussef_Surprised_14.wav,إنلي هي وحنة ورا حاجة تانيخر البنك
AmrYoussef,Surprised,AmrYoussef_Surprised_2.wav,يه ديبة
AmrYoussef,Surprised,AmrYoussef_Surprised_13.wav,مذكرتي
AmrYoussef,Surprised,AmrYoussef_Surprised_27.wav,دلوقتي
AmrYoussef,Surprised,AmrYoussef_Surprised_17.wav,هو إنتي فقة إنلسة فيه بكرة
AmrYoussef,Surprised,AmrYoussef_Surprised_33.wav,كسا حبتينا
AmrYoussef,Surprised,AmrYoussef_Surprised_10.wav,بتعيريني دلوقتي
AmrYoussef,Surprised,AmrYoussef_Surprised_9.wav,شالالم
AmrYoussef,Surprised,AmrYoussef_Surprised_35.wav,فعني عب لهدك المسمون
AmrYoussef,Surprised,AmrYoussef_Surprised_3.wav,أمي أنا أكسوفة مني
AmrYoussef,Surprised,AmrYoussef_Surprised_24.wav,ولعب الطنع دي
AmrYoussef,Surprised,AmrYoussef_Surprised_20.wav,ما جدي أخوق
AmrYoussef,Surprised,AmrYoussef_Surprised_16.wav,ولا ا كنتش عرف حد غير كولي
AmrYoussef,Surprised,AmrYoussef_Surprised_36.wav,أسدائك
AmrYoussef,Surprised,AmrYoussef_Surprised_1.wav,في
AmrYoussef,Surprised,AmrYoussef_Surprised_28.wav,سنية واحدة وإنتي بتتكلمي عندينة مين ولظبط
AmrYoussef,Surprised,AmrYoussef_Surprised_21.wav,فصراحة ليبسراح
AmrYoussef,Surprised,AmrYoussef_Surprised_26.wav,كده
AmrYoussef,Surprised,AmrYoussef_Surprised_34.wav,دكتور
AmrYoussef,Surprised,AmrYoussef_Surprised_5.wav,إخونه
AmrYoussef,Surprised,AmrYoussef_Surprised_15.wav,لعادش مزيور
AmrYoussef,Surprised,AmrYoussef_Surprised_7.wav,نعم
AmrYoussef,Surprised,AmrYoussef_Surprised_4.wav,أميت خل
AmrYoussef,Surprised,AmrYoussef_Surprised_29.wav,مد
AmrYoussef,Sad,AmrYoussef_Sad_17.wav,كت حثز ب الحكادي تولوت
AmrYoussef,Sad,AmrYoussef_Sad_5.wav,وجده أنا كنت بتكلام هاكبروحتي مفط فضلك
AmrYoussef,Sad,AmrYoussef_Sad_8.wav,لا رحمد حسن اليه
AmrYoussef,Sad,AmrYoussef_Sad_12.wav,علىدمربناي أتر
AmrYoussef,Sad,AmrYoussef_Sad_1.wav,أناس ف مضن
AmrYoussef,Sad,AmrYoussef_Sad_16.wav,ما كدي ها هبقاس
AmrYoussef,Sad,AmrYoussef_Sad_18.wav,دلوقتي بس عرفت كنوا بيتطفوا علىي ه
AmrYoussef,Sad,AmrYoussef_Sad_11.wav,ليمليون حاجة أوز رفحت
AmrYoussef,Sad,AmrYoussef_Sad_4.wav,حتى ركنتي خايفة تمازم ي
AmrYoussef,Sad,AmrYoussef_Sad_3.wav,أبوية هو اللي مابقادش عني وأنا محتاكم
AmrYoussef,Sad,AmrYoussef_Sad_15.wav,كانيا لازم ورفم إن أنا بيطله واحدنة
AmrYoussef,Sad,AmrYoussef_Sad_14.wav,تشافته إ قسات كل حاجة صحة كت بق عملها كنت بى عد الحق غلط
AmrYoussef,Sad,AmrYoussef_Sad_7.wav,وكن في حمل على كتافي
AmrYoussef,Sad,AmrYoussef_Sad_6.wav,وأنا هس إ أنا ما أخموق متدايد
AmrYoussef,Sad,AmrYoussef_Sad_9.wav,ما إنتشافةالل نا في م
AmrYoussef,Sad,AmrYoussef_Sad_13.wav,فيش حب دلوقتي اللي حوالاي حسين دية حال
AmrYoussef,Sad,AmrYoussef_Sad_10.wav,خلاص حقك على ها نس
AmrYoussef,Sad,AmrYoussef_Sad_2.wav,أمه هي مش وية الفندا دلوقتي
AmrYoussef,Angry,AmrYoussef_Angry_27.wav,لا إمتي اللي تينسي هو صلك كاني يها وصلك مش كلن مرة تعمليا حركات م فورلوز دي
AmrYoussef,Angry,AmrYoussef_Angry_4.wav,هياخده أنا بتشوفك هنا أكتر ما بشوفني
AmrYoussef,Angry,AmrYoussef_Angry_26.wav,بش وعولك كل عند ف حقتي عايزم تدخلوا فيها
